"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 29 00:17:36 CST 2021","Fri Jan 29 00:17:37 CST 2021","469","scripts","test_case","Test_case","","","hexiaoyu","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/evaluation/getEvaluationStatus<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","Fri Jan 29 00:17:41 CST 2021","Fri Jan 29 00:17:42 CST 2021","466","scripts","test_case","Test_case","","","hexiaoyu","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/userbaby/getDetailInfo<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","Fri Jan 29 00:17:34 CST 2021","Fri Jan 29 00:17:35 CST 2021","467","scripts","test_case","Test_case","","","hexiaoyu","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/common/listBanner<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","Fri Jan 29 00:17:43 CST 2021","Fri Jan 29 00:17:44 CST 2021","501","scripts","test_case","Test_case","","","hexiaoyu","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/integral/getIntegral<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","Fri Jan 29 00:17:44 CST 2021","Fri Jan 29 00:17:45 CST 2021","473","scripts","test_case","Test_case","","","hexiaoyu","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/common/todayCourseRemind<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","Fri Jan 29 00:17:45 CST 2021","Fri Jan 29 00:17:45 CST 2021","574","scripts","test_case","Test_case","","","hexiaoyu","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/common/subjectTopiclist<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","Fri Jan 29 00:17:28 CST 2021","Fri Jan 29 00:17:28 CST 2021","314","scripts","test_case","Test_case","","","搜索APP4","<font color=""red"">请求URL：</font>https://sj.qq.com/myapp/searchAjax.htm?kw=爱奇艺<br /><font color=""red"">期望值：</font>{""success"":true}"
"passed","Fri Jan 29 00:17:39 CST 2021","Fri Jan 29 00:17:40 CST 2021","476","scripts","test_case","Test_case","","","hexiaoyu","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/integral/getIntegral<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","Fri Jan 29 00:17:40 CST 2021","Fri Jan 29 00:17:41 CST 2021","469","scripts","test_case","Test_case","","","hexiaoyu","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/integral/getRewardPoint<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","Fri Jan 29 00:17:28 CST 2021","Fri Jan 29 00:17:28 CST 2021","267","scripts","test_case","Test_case","","","搜索APP4","<font color=""red"">请求URL：</font>https://sj.qq.com/myapp/searchAjax.htm?kw=爱奇艺<br /><font color=""red"">期望值：</font>{""success"":true}"
"passed","Fri Jan 29 00:17:46 CST 2021","Fri Jan 29 00:17:46 CST 2021","673","scripts","test_case","Test_case","","","hexiaoyu","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/common/getUnSubscribe<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","Fri Jan 29 00:17:32 CST 2021","Fri Jan 29 00:17:33 CST 2021","467","scripts","test_case","Test_case","","","hexiaoyu","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/commentReport/getSystemMsgNum<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","Fri Jan 29 00:17:42 CST 2021","Fri Jan 29 00:17:42 CST 2021","505","scripts","test_case","Test_case","","","hexiaoyu","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/integral/getRewardPoint<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","Fri Jan 29 00:17:44 CST 2021","Fri Jan 29 00:17:44 CST 2021","468","scripts","test_case","Test_case","","","hexiaoyu","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/integral/getRewardPoint<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","Fri Jan 29 00:17:38 CST 2021","Fri Jan 29 00:17:39 CST 2021","576","scripts","test_case","Test_case","","","hexiaoyu","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/userbaby/getDetailInfo<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","Fri Jan 29 00:17:42 CST 2021","Fri Jan 29 00:17:43 CST 2021","575","scripts","test_case","Test_case","","","hexiaoyu","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/integral/getIntegral<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","Fri Jan 29 00:17:41 CST 2021","Fri Jan 29 00:17:41 CST 2021","574","scripts","test_case","Test_case","","","hexiaoyu","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/integral/getIntegral<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","Fri Jan 29 00:17:35 CST 2021","Fri Jan 29 00:17:35 CST 2021","469","scripts","test_case","Test_case","","","hexiaoyu","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/common/versionUpdate<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","Fri Jan 29 00:17:30 CST 2021","Fri Jan 29 00:17:31 CST 2021","501","scripts","test_case","Test_case","","","hexiaoyu","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/userbaby/getDetailInfo<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","Fri Jan 29 00:17:29 CST 2021","Fri Jan 29 00:17:29 CST 2021","277","scripts","test_case","Test_case","","","搜索APP4","<font color=""red"">请求URL：</font>https://sj.qq.com/myapp/searchAjax.htm?kw=爱奇艺<br /><font color=""red"">期望值：</font>{""success"":true}"
"passed","Fri Jan 29 00:17:45 CST 2021","Fri Jan 29 00:17:46 CST 2021","571","scripts","test_case","Test_case","","","hexiaoyu","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/course/checkSpecial<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","Fri Jan 29 00:17:28 CST 2021","Fri Jan 29 00:17:29 CST 2021","223","scripts","test_case","Test_case","","","搜索APP4","<font color=""red"">请求URL：</font>https://sj.qq.com/myapp/searchAjax.htm?kw=爱奇艺<br /><font color=""red"">期望值：</font>{""success"":true}"
"passed","Fri Jan 29 00:17:29 CST 2021","Fri Jan 29 00:17:30 CST 2021","363","scripts","test_case","Test_case","","","搜索APP4","<font color=""red"">请求URL：</font>https://sj.qq.com/myapp/searchAjax.htm?kw=爱奇艺<br /><font color=""red"">期望值：</font>{""success"":true}"
"passed","Fri Jan 29 00:17:47 CST 2021","Fri Jan 29 00:17:48 CST 2021","615","scripts","test_case","Test_case","","","hexiaoyu","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/commentReport/getReportMsgNums<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
