"Status","Name","Duration in ms","Description"
"passed","scripts.test_case.Test_case#test_case","499","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/course/checkSpecial<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"failed","scripts.test_case.Test_case#test_case","495",""
"passed","scripts.test_case.Test_case#test_case","485","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/integral/getIntegral<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","scripts.test_case.Test_case#test_case","269","<font color=""red"">请求URL：</font>https://sj.qq.com/myapp/searchAjax.htm?kw=美团<br /><font color=""red"">期望值：</font>{""success"":true}"
"passed","scripts.test_case.Test_case#test_case","500","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/integral/getIntegral<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","scripts.test_case.Test_case#test_case","519","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/common/listBanner<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","scripts.test_case.Test_case#test_case","478","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/common/versionUpdate<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"failed","scripts.test_case.Test_case#test_case","519",""
"passed","scripts.test_case.Test_case#test_case","536","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/course/getCourseCatalogList<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","scripts.test_case.Test_case#test_case","244","<font color=""red"">请求URL：</font>https://sj.qq.com/myapp/searchAjax.htm?kw=QQ<br /><font color=""red"">期望值：</font>{""success"":true}"
"passed","scripts.test_case.Test_case#test_case","483","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/common/todayCourseRemind<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","scripts.test_case.Test_case#test_case","478","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/commentReport/getSystemMsgNum<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","scripts.test_case.Test_case#test_case","522","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/evaluation/getEvaluationIndexStatus<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","scripts.test_case.Test_case#test_case","361","<font color=""red"">请求URL：</font>https://sj.qq.com/myapp/searchAjax.htm?kw=爱奇艺<br /><font color=""red"">期望值：</font>{""success"":true}"
"passed","scripts.test_case.Test_case#test_case","235","<font color=""red"">请求URL：</font>https://sj.qq.com/myapp/searchAjax.htm?kw=美团<br /><font color=""red"">期望值：</font>{""success"":true}"
"passed","scripts.test_case.Test_case#test_case","473","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/common/getAdvertising<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"failed","scripts.test_case.Test_case#test_case","550",""
"passed","scripts.test_case.Test_case#test_case","468","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/evaluation/getEvaluationStatus<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","scripts.test_case.Test_case#test_case","539","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/userbaby/getDetailInfo<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","scripts.test_case.Test_case#test_case","532","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/integral/getIntegral<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","scripts.test_case.Test_case#test_case","513","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/integral/getIntegral<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","scripts.test_case.Test_case#test_case","705","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/childCamp/getUserCourseList<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","scripts.test_case.Test_case#test_case","487","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/commentReport/getReportMsgNums<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
